district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat
Samkani,10,13,تعمیر,1310159,"Tanni, Bagyaar",Sultan House,Paktya,4,0,4,Building,69.742022,33.796891
Samkani,10,13,قریه,1310160,Mangyaar Village,Eid Gul Mosque,Paktya,0,4,4,Village,69.762324,33.712545
Khost,01,14,تعمیر,1401047,Bangi Bagh,Rasool House,Khost,1,2,3,Building,69.956921,33.313888
Khost,01,14,تعمیر,1401161,Deri,Dere Madrassa,Khost,1,2,3,Building,70.021691,33.350229
Manduzay,02,14,تعمیر,1402085,Tora Worrai,Tora Wari High School Degan,Khost,1,1,2,Building,69.868020,33.299511
Manduzay,02,14,تعمیر,1402086,Deganano Village,Sayda Jan Mosque,Khost,1,1,2,Building,69.861721,33.323071
Taluqan,01,18,تعمیر,1801017,Bolak Orta Baz,Bolak Orta Baz Primary School,Takhar,1,2,3,Building,69.556247,36.745635
Namak Ab,06,18,تعمیر,1806083,Bekh Kotal,District Office,Takhar,2,3,5,Building,69.641090,36.594398
Balkh,06,21,تعمیر,2106159,Elqechee Village,Elqechee School,Balkh,1,2,3,Building,66.776777,36.892279
Enjil,02,32,تعمیر,3202038,Abul Waleed,Abul Waleed Mosque,Herat,2,2,4,Building,62.147962,34.360071
Enjil,02,32,تعمیر,3202039,Gow Butan,Gow Butan High School,Herat,1,2,3,Building,62.135461,34.344171
Karrukh,04,32,تعمیر,3204158,Islam Abad Village,Islam Abad School,Herat,1,1,2,Building,62.444845,34.376802
Karrukh,04,32,تعمیر,3204159,Pahlawan Peri Village,Pahlawan Peri Scondary School,Herat,1,1,2,Building,62.395787,34.358107
Karrukh,04,32,تعمیر,3204163,Korpa Village,Korpa School,Herat,2,1,3,Building,62.317177,34.546687
Karrukh,04,32,قریه,3204164,Mjid Chobi,Kochis Location,Herat,1,2,3,Village,63.091411,34.573431
Shindand,14,32,تعمیر,3214336,Chahar Qala-E-Duowm,Chahar Qala-E-Dowom Clinic,Herat,1,1,2,Building,62.193134,33.206001
Farah,01,33,تعمیر,3301247,Sang Zor,Sang Zor Mosque,Farah,1,2,3,Building,62.086484,32.354502
Qala-E-Kah,04,33,تعمیر,3304248,Anjeeran,Angiran School,Farah,1,2,3,Building,61.390737,32.438907
Bamyan,01,10,تعمیر,1001168,Mulah Ghulam,Karte Solh High School,Bamyan,1,2,3,Building,67.781932,34.833747
Bamyan,01,10,تعمیر,1001169,Dahan Jaopalan,Mosque,Bamyan,1,2,3,Building,67.515238,34.878603
Miramor,07,24,تعمیر,2407191,Shazan,Mosque,Daykundi,1,2,3,Building,67.121171,33.907721
Miramor,07,24,تعمیر,2407192,Ghajorak,Mosque,Daykundi,1,2,3,Building,67.245977,33.832266
Shahristan,02,24,تعمیر,2402172,Rakhan,Mosque,Daykundi,1,2,3,Building,66.666723,33.539880
Dahana-E-Ghuri,02,09,تعمیر,0902260,Naw Amad Qara Khwal Shakar To,Nawamad Mosque,Baghlan,1,2,3,Building,68.498323,35.751902
Doshi,03,09,تعمیر,0903261,Khwaja Zaid Sufla,Abo Hanifa Madrasa,Baghlan,1,2,3,Building,68.730004,35.598302
Bagrami,04,01,تعمیر,0104539,Qalai Hasan Khan Sufla,Qala Hasan Khan Mosque,Kabul,1,2,3,Building,69.248405,34.466101
Bagrami,04,01,تعمیر,0104540,Hasan Khil Village_Said Jamaludin Second Part,Mehtarlam Baba Mosque,Kabul,1,2,3,Building,69.312298,34.492235
Alingar,04,07,تعمیر,0704131,Lokar,School,Laghman,1,2,3,Building,70.377064,34.906862
Alingar,04,07,تعمیر,0704132,Chinchar Pol,Mosque,Laghman,1,2,3,Building,70.297346,34.758656
Baglan-E-Jadeed,05,09,تعمیر,0905275,Larkhwabi,Mulah Khal Muhammad Mosque,Baghlan,1,2,3,Building,68.735632,36.290958
Manduzay,02,14,تعمیر,1402177,Dikano Village,Mosque,Khost,1,2,3,Building,69.864385,33.316119
Shuhada,12,17,تعمیر,1712305,Dargab,Wakil Abdul Jabar School,Badakhshan,1,2,3,Building,71.175247,37.057933
Sozma Qala,04,22,تعمیر,2204141,Safar Qeshlaq,Mosque,Sar-E-Pul,1,2,3,Building,66.236172,36.043066
Tarank Wa Jaldak,02,26,قریه,2602052,Daro,Haji Abdul Aziz Pump Station,Zabul,1,2,3,Village,66.374168,31.832221
Gurziwan,08,29,تعمیر,2908212,Qala Tori,Qala Tardi Female Primary School,Faryab,1,2,3,Building,65.260903,35.723482
Nahia_08,01,01,تعمیر,0101520,Behaind Of Cokakola Industary,Hzor Hazrat Nabi Mosque,Kabul,1,2,3,Building,69.242328,34.509100
Nahia_15,01,01,تعمیر,0101528,District-15,Muhammad Hanifa Ghazi Mosque,Kabul,1,2,3,Building,69.169276,34.577129
Jabulussaraj,05,03,تعمیر,0305154,Ezatullah Khil_ Gul Bahar,Abdul Hadi Shaheed Secondary School,Parwan,1,2,3,Building,69.285446,35.142910
Kama,05,06,تعمیر,0605512,Koza Deh Ghazi,Clinic,Nangarhar,1,2,3,Building,70.564863,34.414383
Kama,05,06,تعمیر,0605513,Dar Gul Sufla,Molawi Ebarahim Kamawi School,Nangarhar,1,2,3,Building,70.628793,34.441255
Paryan,07,08,قریه,0807108,Chaoni,Chawni School,Panjshir,1,2,3,Village,69.880302,35.640124
Rukha,02,08,قریه,0802099,Chamal Warda,Chamal Warda Mosque,Panjshir,1,2,3,Village,69.424469,35.303170
Nahreen,04,09,ولسوالی,0904265,Khwaja Gul Khor,Khwaja Gul Khar School,Baghlan,1,2,3,District,69.003425,36.089926
Yakawlang,05,10,تعمیر,1005178,Kaligan,Kaligan Femal High School,Bamyan,1,2,3,Building,66.461487,34.932333
